company,code,indicatorlistS,timeS,useS,timeuseS,keepS,remarkS
1000,100001,แก้ท้องเสีย,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,
1000,100000,แก้ไอ,ทุกครั้งที่มีอาการ,รับประทานครั้งละ 1 ช้อนโต๊ะ,-,-,
1000,100002,แก้ท้องเสีย,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,
1000,100003,แก้คลื่นไส้ อาเจียน,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,ก่อนอาหาร,เก็บในอุณหภูมิห้อง,
1000,100004,แก้คลื่นไส้ อาเจียน,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,ก่อนอาหาร,เก็บในอุณหภูมิห้อง,
1000,100005,แก้ท้องอืดท้องเฟ้อ,ทุกครั้งที่มีอาการ,รับประทานครั้งละ ..... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,
1000,100006,แก้ท้องอืดท้องเฟ้อ,ทุกครั้งที่มีอาการ,รับประทานครั้งละ ..... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,
1000,100007,แก้จุกเสียด แน่นท้อง ขับลม ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,
1000,100008,บรรเทาอาการปวดเกร็งท้อง,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,
1000,100009,เสริมธาตุเหล็ก,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,
1000,100010,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,
1000,100011,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,
1000,100012,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,
1000,100013,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,
1000,100014,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,
1000,100015,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,
1000,100016,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,
1000,100017,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,
1000,100018,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,
1000,100019,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,
1000,100020,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,
1000,100021,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,
1000,100022,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,
1000,100023,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,
1000,100024,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,
1000,100025,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,
1000,100026,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,
1000,100027,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,
1000,100028,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,
1000,100029,ลดไข้ บรรเทาอาการปวด,ทุก 6 ชั่วโมง,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,
1000,100030,ฆ่าเชื้อในทางเดินหายใจ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,ก่อนอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
1000,100031,ฆ่าเชื้อในทางเดินหายใจ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,ก่อนอาหาร,เก็บในอุณหภูมิห้อง,รับประทานติดต่อกันจนยาหมด 
