company,code,indicatorlistS,timeS,useS,timeuseS,keepS,remarkS
1000,100032,ฆ่าเชื้อในทางเดินหายใจ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,ก่อนอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
1000,100033,ฆ่าเชื้อในทางเดินหายใจ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
1000,100034,ฆ่าเชื้อแบคทีเรีย,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,ก่อนอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
1000,100035,ฆ่าเชื้อแบคทีเรีย,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,ก่อนอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
1000,100036,ฆ่าเชื้อแบคทีเรีย,เช้า-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
1000,100037,ฆ่าเชื้อในทางเดินหายใจ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ...... ml,ก่อนอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
1000,100038,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ...... ml,-,-,"
"
1000,100039,ขยายหลอดลม,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
1000,100040,ขยายหลอดลม และขับเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
1000,100041,ขยายหลอดลม,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
1000,100042,แก้ไอ ขับเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
1000,100043,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
1000,100044,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
1000,100045,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
1000,100046,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
1000,100047,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
1000,100048,แก้ไอ ขับเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
1000,100049,บรรเทาอาการไอ ระคายเคืองคอ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
1000,100050,บรรเทาอาการไอ ระคายเคืองคอ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
1000,100051,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ...... ml,-,-,"
"
1000,100052,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
1000,100053,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
1000,100054,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
1000,100055,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
1000,100056,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ...... ml,-,-,"
"
1000,100057,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
1000,100058,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
1000,100059,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
1000,100060,บรรเทาอาการหวัด ลดไข้,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
1000,100061,บรรเทาอาการหวัด ลดไข้,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
1000,100062,บรรเทาอาการหวัด ลดไข้,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
1000,100063,บรรเทาอาการคัดจมูก,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
1000,100064,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
1000,100065,แก้แพ้ผื่นคัน,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ..... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,ยานี้ทำให้ง่วงนอน
1000,100066,บรรเทาอาการไอ ลดไข้ น้ำมูก,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
1000,100067,บรรเทาอาการไอ ลดไข้ น้ำมูก,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ..... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,
1000,100068,เจริญอาหาร,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ..... ml,ก่อนอาหาร,เก็บในอุณหภูมิห้อง,
1000,100069,บรรเทาอาการหวัด คัดจมูก,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
1000,100070,บรรเทาอาการหวัด คัดจมูก,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
1000,100071,บรรเทาอาการหวัด คัดจมูก,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ...... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
1000,100072,สำหรับฉีดเข้าเส้นเลือด,ทุกครั้งที่มีอาการ,,,เก็บในอุณหภูมิห้อง,
1000,100073,สำหรับฉีดเข้าเส้นเลือด,ทุกครั้งที่มีอาการ,,,เก็บในอุณหภูมิห้อง,
1000,100074,สำหรับฉีดเข้าเส้นเลือด,ทุกครั้งที่มีอาการ,,,เก็บในอุณหภูมิห้อง,
1000,100075,สำหรับฉีดเข้าเส้นเลือด,ทุกครั้งที่มีอาการ,,,เก็บในอุณหภูมิห้อง,
1000,100076,บำรุงร่างกาย ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,พร้อมอาหาร,เก็บในอุณหภูมิห้อง,
1000,100077,เจริญอาหาร,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 1 เม็ด,ก่อนอาหาร,เก็บในอุณหภูมิห้อง,
1000,100078,บรรเทาอาการหวัด คัดจมูก,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,ยานี้ทำให้ง่วงนอน
1000,100079,บำรุงสายตา,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในตู้เย็น,
1000,100080,บำรุงร่างกาย ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในตู้เย็น,
1000,100081,บรรเทาอาการ เหน็บชา,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในอุณหภูมิห้อง,
1000,100082,บำรุงร่างกาย ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,
1000,100083,บำรุงร่างกาย ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,
1000,100084,บำรุงร่างกาย ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,
1000,100085,เสริมวิตามินบี,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,ก่อนอาหาร,,
1000,100086,บำรุงร่างกาย ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,
1000,100087,บำรุงโลหิต,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,
1000,100088,บรรเทาอาการ เหน็บชา,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในอุณหภูมิห้อง,
1000,100089,บำรุงโลหิต,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 1 เม็ด,พร้อมอาหาร,เก็บในอุณหภูมิห้อง,
1000,100090,บรรเทาอาการ เหน็บชา,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในอุณหภูมิห้อง,
1000,100091,รักษาโรคโลหิตจาง,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในอุณหภูมิห้อง,
1000,100092,รักษาโรคโลหิตจาง,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในอุณหภูมิห้อง,
1000,100093,ละลายเสมหะ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 ซอง,หลังอาหาร,,ผสมน้ำ ครึ่งแก้ว
1000,100094,ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 ซอง,หลังอาหาร,,ผสมน้ำ ครึ่งแก้ว
1000,100095,ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 ซอง,หลังอาหาร,,ผสมน้ำ ครึ่งแก้ว
1000,100096,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,
1000,100097,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,
1000,100098,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,
1000,100099,แก้ไอ ขับเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,
1000,100100,แก้ไอ ขับเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,
1000,100101,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100102,แก้แพ้ ลดน้ำมูก ผื่นคัน,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,
1000,100103,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100104,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100105,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100106,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100107,แก้แพ้ ลดน้ำมูก ผื่นคัน,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,
1000,100108,แก้แพ้ ลดน้ำมูก ผื่นคัน,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,
1000,100109,บรรเทาอาการหวัด คัดจมูก,ทุก 6 ชั่วโมง,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100110,บรรเทาอาการหวัด ลดไข้,ทุก 6 ชั่วโมง,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100111,บรรเทาอาการหวัด ลดไข้,ทุก 6 ชั่วโมง,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100112,บรรเทาอาการหวัด ลดไข้,ทุก 6 ชั่วโมง,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100113,บรรเทาอาการไอ ระคายเคืองคอ,ทุกครั้งที่มีอาการ,รับประทานครั้งละ 1 เม็ด,,,
1000,100114,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,
1000,100115,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100116,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100117,ลดน้ำมูก แพ้อากาศ,เช้า-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,
1000,100118,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,
1000,100119,แก้แพ้ ลดน้ำมูก ผื่นคัน,เช้า-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,
1000,100120,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100121,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100122,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100123,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100124,เจริญอาหาร,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,ก่อนนอน
1000,100125,เจริญอาหาร,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 1 เม็ด,ก่อนอาหาร,,ยานี้ทำให้ง่วงนอน
1000,100126,แก้แพ้ผื่นคัน,ก่อนนอน,รับประทานครั้งละ 1 เม็ด,,,ยานี้ทำให้ง่วงนอน
1000,100127,แก้แพ้ผื่นคัน,ก่อนนอน,รับประทานครั้งละ 1 เม็ด,,,ยานี้ทำให้ง่วงนอน
1000,100129,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 1 เม็ด,,,ยานี้ทำให้ง่วงนอน
1000,100130,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 1 เม็ด,,,ยานี้ทำให้ง่วงนอน
1000,100131,ช่วยให้นอนหลับ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,ก่อนนอน 30 นาที
1000,100132,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100133,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100134,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,,,เมื่อมีอาการ
1000,100135,บรรเทาอาการหวัด คัดจมูก,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,ยานี้ทำให้ง่วงนอน
1000,100136,บรรเทาอาการหวัด คัดจมูก,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,ยานี้ทำให้ง่วงนอน
1000,100137,บรรเทาอาการหวัด คัดจมูก,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,ยานี้ทำให้ง่วงนอน
1000,100138,บรรเทาอาการหวัด คัดจมูก,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,,ยานี้ทำให้ง่วงนอน
1000,100139,บรรเทาอาการหวัด ลดไข้,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 2 เม็ด,,,ยานี้ทำให้ง่วงนอน
1000,100140,รักษาตาติดเชื้อ,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดวันละ 1-2 หยด,,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
1000,100141,รักษาตาติดเชื้อ,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
1000,100142,บรรเทาอาการระคายเคืองตา,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
1000,100143,บรรเทาอาการระคายเคืองตา,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
1000,100144,บรรเทาอาการระคายเคืองตา,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
1000,100145,บรรเทาอาการระคายเคืองตา,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,,,
1000,100146,บรรเทาอาการตาแดง,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
1000,100147,บรรเทาอาการตาแดง,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
1000,100148,บรรเทาอาการตาแดง,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
1000,100149,แก้ปวด ลดอักเสบ,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
1000,100150,แก้ปวด ลดอักเสบ,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
1000,100151,รักษาตาติดเชื้อ,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 1-2 หยด,,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
1000,100152,ฆ่าเชื้อราที่หู,เช้า-กลางวัน-เย็น-ก่อนนอน,หยอดครั้งละ 2-3 หยด,,เก็บในอุณหภูมิห้อง,เปิดใช้แล้วมีอายุ 1 เดือน
1000,100153,กำจัดขี้หู,เช้า-เย็น,หยอดครั้งละ 5-10 หยด,,,ทิ้งไว้ 15 นาที ไม่ควรใช้ติดต่อกันเกิน…4….วัน
