shortlist,list,company
ขย.9,,A
ขย.10,บัญชีการขายยาควบคุมพิเศษ,A
ขย.11,บัญชีการขายยาอันตราย ตามที่ อ.ย. กำหนด,A
ขย.12,บัญชีการขายยาตามใบสั่งของผู้ประกอบวิชาชีพเวชกรรม ผู้ประกอบโรคศิลปะ ฯ,A
ขย.13,บัญชีการขายยา ตามที่ อ.ย. กำหนด (เฉพาะร้านขายส่ง),A
-,ไม่มีการควบคุม,A
