id,company,code,ProductName,fixname,group,type,subtype,Category,DrugRegistor,Area,Unit,Barcode,AlarmExp,Remark,Show,Child,CI,CostActual,price,wholesaleprice,online,PriceA,PriceB,Max,Min,ROP,pic
3663,1,100563,CYSTALINE 600 mg 10's,ACETYLCYSTEINE,MUCOLYTIC,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,หลอด,8859446301996,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3664,1,100564,Muclear 600 mg 10's,ACETYLCYSTEINE,MUCOLYTIC,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,หลอด,8850769012361,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3665,1,100565,naclong 600 mg 10's,ACETYLCYSTEINE,MUCOLYTIC,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,หลอด,8858789600155,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3666,1,100566,Betadine gargle 30 ml SF,POVIDONE-IODIDE,MOUTH/THROAT PREPARATIONS,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,กล่อง,9314057022818,100,NULL,FALSE,FALSE,NULL,,,0,0,0,0,0,0,,/uploads/100566_1.jpg
3667,1,100567,Puvadon gargle 30 ml,POVIDONE-IODIDE,MOUTH/THROAT PREPARATIONS,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,กล่อง,8853871002909,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3668,1,100568,STERZAR 1mg 7tab,FINASTERIDE,HORMONES,ขย.9,NULL,ยาคุมกำเนิดและฮอร์โมนทดแท,,,แผง,8850769014457,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3669,1,100569,Firide 5 mg 10's,FINASTERIDE,HORMONES,ขย.9,NULL,ยาคุมกำเนิดและฮอร์โมนทดแท,,,แผง,8852738480034,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3670,1,100570,5%Reten five 30ml,MINOXIDIL,ANTIHYPERTENSIVES,ขย.9,NULL,ยาคุมกำเนิดและฮอร์โมนทดแท,,,กล่อง,8851881577370,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3671,1,100571,polygot 1/100 mg 10's,ERGOTAMINE TARTATE + CAFFEINE,ERGOT,ขย.9,NULL,ปวดหัว/ไมเกรน,,,แผง/กล่อง,8852978010619,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3672,1,100572,Cafergot 1/100 mg 10's,ERGOTAMINE TARTATE + CAFFEINE,ERGOT,ขย.9,NULL,ปวดหัว/ไมเกรน,,,แผง/กล่อง,8858789600889,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3673,1,100573,Avamigran 1/100 mg 10's,ERGOTAMINE TARTATE + CAFFEINE,ERGOT,ขย.9,NULL,ปวดหัว/ไมเกรน,,,แผง/กล่อง,8858789600858,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3674,1,100574,Migana 1/100 mg 10's,ERGOTAMINE TARTATE + CAFFEINE,ERGOT,ขย.9,NULL,ปวดหัว/ไมเกรน,,,แผง/กล่อง,8856513010584,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3675,1,100575,Tofago 1/100 mg  10's,ERGOTAMINE TARTATE + CAFFEINE,ERGOT,ขย.9,NULL,ปวดหัว/ไมเกรน,,,แผง/กล่อง,8851881019375,100,NULL,FALSE,FALSE,NULL,,,0,0,0,0,0,0,,/uploads/100575_1.jpg
3676,1,100576,Sobelin 5 mg 10'cap,FLUNARIZINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ปวดหัว/ไมเกรน,,,แผง,8851881406229,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3677,1,100577,Simoyiam 5 mg 10'cap,FLUNARIZINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ปวดหัว/ไมเกรน,,,แผง,8852738080401,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3678,1,100578,Merlin  6 mg 10's    T.O,BETAHISTINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ปวดหัว/ไมเกรน,,,แผง,8851881198223,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3679,1,100579,merislon  6 mg 10's,BETAHISTINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,แผง,8858682900178,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3680,1,100580,Merislon 12 mg 10's,BETAHISTINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,แผง,8858682900505,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3681,1,100581,Betahis 12 mg 10's,BETAHISTINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,แผง,8853348005198,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3682,1,100582,Stei 16 mg  10's,BETAHISTINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,แผง,8850239005664,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3683,1,100583,HistiGo-16  10's,BETAHISTINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,แผง,8855459007627,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3684,1,100584,HistiGo-24  10's,BETAHISTINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,แผง,8855459007634,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3685,1,100585,Serc 16 mg  20's,BETAHISTINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,แผง/กล่อง,3760008320360,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3686,1,100586,Serc 24 mg  20's,BETAHISTINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,แผง/กล่อง,3760008321206,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3687,1,100587,Stei 24 mg  10's,BETAHISTINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,แผง,8850239005053,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3688,1,100588,Sermion 10 mg  10's,NICERGOLINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,แผง/กล่อง,8852855762242,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3689,1,100589,Stugeron 10's,CINNARIZINE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,แผง,8850583003132,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3690,1,100590,Cephadol 25 mg 10's,DIPHENIDOL HCL,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,ยาระบบทางเดินหายใจ,,,แผง,8858722911768,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3691,1,100591,Dramamine 50 mg 10's,DIMENHYDRINATE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,"ยาแก้อาเจียน,เมารถเมาเรือ",,,แผง,8858573000178,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3692,1,100592,DIMENHYDRINATE 10's,DIMENHYDRINATE,ANTIEMETICS & ANTIVERTIGO DRUG,ขย.9,NULL,"ยาแก้อาเจียน,เมารถเมาเรือ",,,แผง,8858850300113,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3693,1,100593,VULTIN 300 mg 10's,GABAPENTIN,AMINOGLYCOSIDES,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8853935014602,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3694,1,100594,VULTIN 100 mg 10's,GABAPENTIN,ANTINEUROPATHIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8853935014589,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3695,1,100595,amitrip 10 mg GPO 10's,AMITRIPTYLINE,ANTIDEPRESSANTS,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8850678230429,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3696,1,100596,amitrip 25 mg GPO 10's,AMITRIPTYLINE,ANTIDEPRESSANTS,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8850678230528,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3697,1,100597,Gabapentin GPO 300mg 10's,GABAPENTIN,ANTINEUROPATHIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8850678024714,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3698,1,100598,Gabapentin GPO 100mg 10's,GABAPENTIN,ANTINEUROPATHIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8850678024615,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3699,1,100599,Berlontin 300 mg 10's,GABAPENTIN,ANTINEUROPATHIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8852616400215,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3700,1,100600,Berlontin 100mg 10's,GABAPENTIN,ANTINEUROPATHIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8852616400291,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3701,1,100601,Tripta 25mg 10's,AMITRIPTYLINE,ANTIDEPRESSANTS,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,ซอง,8853871002022,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3702,1,100602,Tripta 10 mg 10's,AMITRIPTYLINE,ANTIDEPRESSANTS,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,ซอง,8853871002015,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3703,1,100603,Metformin GPO 500 mg 10's,METFORMIN,ANTIDIABETIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8850678240039,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3704,1,100604,Glucophage 850 mg 10's,METFORMIN,ANTIDIABETIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8852881075132,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3705,1,100605,Glucophage 500 mg 10's,METFORMIN,ANTIDIABETIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8852881074722,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3706,1,100606,Siamformet 850 mg 10's,METFORMIN,ANTIDIABETIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8852738490484,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3707,1,100607,Siamformet 500 mg 10's,METFORMIN,ANTIDIABETIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8852738490392,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3708,1,100608,Furetic 40 mg 10's,FUROSEMIDE,ANTIHYPERTENSIVES,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8852738070280,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3709,1,100609,Daonil 5 mg 10's,GLIBENCAMIDE,ANTIDIABETIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8993237225143,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3710,1,100610,Dianicron MR 60 mg 30's,GLICAZIDE,ANTIDIABETIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,กล่อง,3594452600804,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3711,1,100611,Dipazide 5 mg 10's,GLIPIZIDE,ANTIDIABETIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8852738490149,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3712,1,100612,Glizide 5 mg 15's,GLIPIZIDE,ANTIDIABETIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8854596000751,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3713,1,100613,Minidiab 5 mg 30's,GLIPIZIDE,ANTIDIABETIC,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,กล่อง,8852855427011,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
3714,1,100614,Thyrosit 100 mg 10's,LEVOTHYROXINE SODIUM,THYROID PREPARATIONS,ขย.9,NULL,ยาในโรคเรื้อรัง (Drug for,,,แผง,8850239003202,100,NULL,FALSE,FALSE,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
