id,company,code,indicatorlistS,timeS,useS,timeuseS,keepS,remarkS
3339,1,100034,ฆ่าเชื้อแบคทีเรีย,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,ก่อนอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
3340,1,100035,ฆ่าเชื้อแบคทีเรีย,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,ก่อนอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
3341,1,100036,ฆ่าเชื้อแบคทีเรีย,เช้า-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
3342,1,100037,ฆ่าเชื้อในทางเดินหายใจ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ...... ml,ก่อนอาหาร,เก็บในตู้เย็น,รับประทานติดต่อกันจนยาหมด 
3343,1,100038,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ...... ml,-,-,"
"
3344,1,100039,ขยายหลอดลม,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
3345,1,100040,ขยายหลอดลม และขับเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
3346,1,100041,ขยายหลอดลม,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ...... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
3347,1,100042,แก้ไอ ขับเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
3348,1,100043,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
3349,1,100044,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
3350,1,100045,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
3351,1,100046,แก้ไอ ละลายเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
3352,1,100047,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
3353,1,100048,แก้ไอ ขับเสมหะ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
3354,1,100049,บรรเทาอาการไอ ระคายเคืองคอ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
3355,1,100050,บรรเทาอาการไอ ระคายเคืองคอ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"
"
3356,1,100051,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ...... ml,-,-,"
"
3357,1,100052,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
3358,1,100053,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
3359,1,100054,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
3360,1,100055,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
3361,1,100056,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ...... ml,-,-,"
"
3362,1,100057,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
3363,1,100058,ลดน้ำมูก แพ้อากาศ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ ......... ช้อนชา,-,-,"
"
3364,1,100059,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ...... ml,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
3365,1,100060,บรรเทาอาการหวัด ลดไข้,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
3366,1,100061,บรรเทาอาการหวัด ลดไข้,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
3367,1,100062,บรรเทาอาการหวัด ลดไข้,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
3368,1,100063,บรรเทาอาการคัดจมูก,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
3369,1,100064,ลดน้ำมูก แพ้อากาศ,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,-,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
3370,1,100065,แก้แพ้ผื่นคัน,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ..... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,ยานี้ทำให้ง่วงนอน
3371,1,100066,บรรเทาอาการไอ ลดไข้ น้ำมูก,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
3372,1,100067,บรรเทาอาการไอ ลดไข้ น้ำมูก,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ..... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
3373,1,100068,เจริญอาหาร,เช้า-กลางวัน-เย็น,รับประทานครั้งละ ..... ml,ก่อนอาหาร,เก็บในอุณหภูมิห้อง,NULL
3374,1,100069,บรรเทาอาการหวัด คัดจมูก,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
3375,1,100070,บรรเทาอาการหวัด คัดจมูก,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
3376,1,100071,บรรเทาอาการหวัด คัดจมูก,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ...... ml,หลังอาหาร,เก็บในอุณหภูมิห้อง,"ยานี้ทำให้ง่วงนอน
"
3377,1,100072,สำหรับฉีดเข้าเส้นเลือด,ทุกครั้งที่มีอาการ,NULL,NULL,เก็บในอุณหภูมิห้อง,NULL
3378,1,100073,สำหรับฉีดเข้าเส้นเลือด,ทุกครั้งที่มีอาการ,NULL,NULL,เก็บในอุณหภูมิห้อง,NULL
3379,1,100074,สำหรับฉีดเข้าเส้นเลือด,ทุกครั้งที่มีอาการ,NULL,NULL,เก็บในอุณหภูมิห้อง,NULL
3380,1,100075,สำหรับฉีดเข้าเส้นเลือด,ทุกครั้งที่มีอาการ,NULL,NULL,เก็บในอุณหภูมิห้อง,NULL
3381,1,100076,บำรุงร่างกาย ,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,พร้อมอาหาร,เก็บในอุณหภูมิห้อง,NULL
3382,1,100077,เจริญอาหาร,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ 1 เม็ด,ก่อนอาหาร,เก็บในอุณหภูมิห้อง,NULL
3383,1,100078,บรรเทาอาการหวัด คัดจมูก,เช้า-กลางวัน-เย็น-ก่อนนอน,รับประทานครั้งละ ......... ช้อนชา,หลังอาหาร,เก็บในอุณหภูมิห้อง,ยานี้ทำให้ง่วงนอน
3384,1,100079,บำรุงสายตา,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในตู้เย็น,NULL
3385,1,100080,บำรุงร่างกาย ,วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในตู้เย็น,NULL
3386,1,100081,บรรเทาอาการ เหน็บชา,เช้า-กลางวัน-เย็น,รับประทานครั้งละ 1 เม็ด,หลังอาหาร,เก็บในอุณหภูมิห้อง,NULL
