list,company
เช้า-เย็น,1000
เช้า-กลางวัน-เย็น,1000
เช้า-กลางวัน-เย็น-ก่อนนอน,1000
วันละ 1 ครั้ง ช่วงเวลาเดียวกัน,1000
ทุก 4 ชั่วโมง,1000
ทุก 6 ชั่วโมง,1000
ทุก 12 ชั่วโมง,1000
ก่อนนอน,1000
เช้า,1000
เย็น,1000
ทุกครั้งที่มีอาการ,1000
,1000
